Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-20 04:00:00+00:00,139.75586494370089,140.71555330717922,129.47911179878915,130.73870849609375,517768400,0.0,0.0
2024-06-21 04:00:00+00:00,127.07985099689417,130.58874447418714,124.2607420188684,126.53002166748048,655484700,0.0,0.0
2024-06-24 04:00:00+00:00,123.20107765857004,124.42069359285092,118.00272291214355,118.07270050048828,476060900,0.0,0.0
2024-06-25 04:00:00+00:00,121.16171601176532,126.46004506116948,119.2823125541992,126.0501708984375,425787500,0.0,0.0
2024-06-26 04:00:00+00:00,126.09017314140296,128.0795426859815,122.56128891907002,126.36009216308594,362975900,0.0,0.0
2024-06-27 04:00:00+00:00,124.0608096849582,126.37008541035672,122.88118200495356,123.95084381103516,252571700,0.0,0.0
2024-06-28 04:00:00+00:00,124.5406643452556,127.66967326811732,122.71124035711296,123.50099182128906,315516700,0.0,0.0
2024-07-01 04:00:00+00:00,123.43101009570316,124.80057257621507,118.79247599150392,124.26074981689452,284885500,0.0,0.0
2024-07-02 04:00:00+00:00,121.09174155643306,123.37102788557134,120.99177466417784,122.63125610351562,218374000,0.0,0.0
2024-07-03 04:00:00+00:00,121.62158223669928,128.23948669433594,121.32167392885506,128.23948669433594,215749000,0.0,0.0
2024-07-05 04:00:00+00:00,127.33976619453144,128.8093107644133,125.64030616479144,125.7902603149414,214176700,0.0,0.0
2024-07-08 04:00:00+00:00,127.44972531770834,130.72869561210538,126.99987051805138,128.1595001220703,237677300,0.0,0.0
2024-07-09 04:00:00+00:00,130.30884272059,133.77774814549483,128.60936736242857,131.33851623535156,285366600,0.0,0.0
2024-07-10 04:00:00+00:00,133.98767413246904,135.0573435645553,132.37818193596397,134.86740112304688,248978600,0.0,0.0
2024-07-11 04:00:00+00:00,135.70713347781276,136.10700106603016,127.00988377533272,127.35977172851562,374782700,0.0,0.0
2024-07-12 04:00:00+00:00,128.2195019014201,131.87835007397342,127.17983694866928,129.19920349121094,252680500,0.0,0.0
